Summary,Sentiment
so bad,negative
very poor quality,negative
it is worst purchase from flipkartwithin 7 montns the filter is gone i asket the reason they said your water tds is high and the one year warranty is also not for the damaged part which one is good condition that is under warranty even i frequently change the pre filter,negative
cloth quality not good,negative
most 3rd class product dont buy the product toally waist of money,negative
man pant not sewing this machine so i am very unhappy,negative
pathetic product packing even worse no brochure was provided and the product was damaged as well no fragile tag was put to ensure handling of product horrible experience,negative
old product and have scratch on face,negative
post consuming acidity problem occurs,negative
dont order any device from flipkart which needs installation use less team working in flipkartyou will be regret for all electrical and electronics devices if you order from flipkart no one is responding after making so many calls,negative
waste,negative
bad,negative
product was good at the time of starting but after 2 months of usage it stopped working totally now i am searching for warranty options,negative
horrible product very bad experience dont buy its totally weste of money,negative
waste quality,negative
i wouldve given 5 stars as am totally satisfied with the working of the product but i have to consider the packaging and parts as well the worst packaging from flipkart and its main part was missing which joins the two tubes and helps them stand together really dissatisfied as i need to hold both of the tubes while cleaning,negative
waste of money not worth,negative
worst product,negative
worst product,negative
poor growth,negative
product is nice and i could have given 5 stars but one thing which i found weird is few screws are not getting fit,negative
very cheap quality,negative
didnt work for me tried a lot of times total loss,negative
dont buy this item utterly disappointed waste of money,negative
not good,negative
waste of money dont but guys burning and smoking mixi when we grinding,negative
all over good but volume bottom is too bad not working any function,negative
very low quality product dont buy this,negative
product is good as brand but tools kit is missing and even customer care is not helpful to redeliver the missing things,negative
product is gud but cleaning is difficult,negative
after washing only one timethe colour of the bottom part had become fade,negative
the car quality was very bad it was not working properly it was broken suggesting don not buy it,negative
bed,negative
very worst item,negative
too much notice while operatingalso getting heat within seconds when started operating,negative
very bad product itz just a cardboard waste of money,negative
calls are unbelievable contacting bluetooth calls,negative
product was good but it has board problem with in 2 days i went for technical support from philips service centre they took that it almost 3 weeks gone there is no progress to repair i dont know why some times i blames my self about the purchase,negative
very bad dont buy it,negative
bad product low class very bad sound quality,negative
very less space leading to frequent hanging up of device,negative
value for money product only reason i bought this model is extended 3 years warrantyu can go for this but not as gud and tough as samsung and lg machinesproscheap price no operational noise gud operational features such as delay wash very compact design i also have a ifb front loading model wash quality of front loading models are 200better then top load cornsbuilt quality is ok okrear machine panel plate is of very cheap plastic check imagescannot remove hard strains from cloths,negative
hopeless quality with no weight resistance waste of money please dont buy,negative
poor quality of the matiriy,negative
waste of time to spend time money its not cleaning,negative
very poor,negative
waste of money,negative
not so good,negative
very light weight,negative
this is very cheap quality product,negative
very poor products,negative
very much discomfort to wearingafter few steps its pinning my feet,negative
bad quality,negative
very worst products my money waste products quality not nice one i very disappointed,negative
too bad,negative
material is ok but poor stitching teared after one use only too disappointed,negative
sound quality not good,negative
worst product dont buy anyone please request to all of youflipkart why u keep this product still in your site,negative
so bad,negative
recived item quality very bad,negative
very bad quality,negative
i use them at a store to heat food rough and tough product because my employees use it very roughly and this lastsgood product for its budget,negative
sorry to say f kart this grinder is working bad when i used it autamaticali swich is offf pleas fkart do samthing for me pleas i need ti change itotherwise i never parchase from fkart,negative
trash product and brand definitely avoidable got 1st machine which appeared damaged in transit the 2nd one re ordered broke down on the 2nd day of use now planning to return this too totally disappointing experience with the brand flipkart,negative
not too good,negative
worst product my crucial data got deleted everything i had and returning this product is such a pain,negative
dont buywaste of money disconnects very frequentlyinternet speed get slowerand made in china,negative
wast off money,negative
waste,negative
waste of money,negative
dont buy for helmet it wont stop wind blast at all and voice will be too unclear to understand,negative
low quality,negative
bad product only realme 7 one time full charge,negative
very bad,negative
bad,negative
usb connected videos and mirror casting is automatically disconnected when playing,negative
bad product,negative
